Run,Event,pt1,eta1,phi1,Q1,pt2,eta2,phi2,Q2,M
173389,506752945,25.3914,1.29629,2.15275,-1,11.4835,-1.43119,-0.786533,1,71.0624
173389,507182185,32.5478,0.355845,1.56269,1,35.4355,1.90361,-1.89052,-1,88.6724
173389,506114222,43.2424,0.724445,-0.984231,-1,44.7697,1.68772,1.97689,1,98.0844
173389,506164019,34.143,-0.202547,1.33012,-1,42.9456,0.871578,-1.98605,1,87.6433
173389,506931207,37.8897,-0.842178,-2.07157,-1,38.3837,-1.99897,1.1952,1,89.2622
173389,507168026,10.0736,0.14329,1.99404,-1,77.4383,1.25946,-1.13054,1,64.7852
173389,507264212,42.2531,0.661532,-0.863538,-1,44.482,-0.0205784,2.34421,1,91.7535
173389,505957603,75.1672,0.513014,-2.04461,1,20.3701,2.33794,-0.0688864,-1,104.643
173389,507066067,26.2843,1.72447,-0.713817,-1,21.4087,-0.902625,3.0014,1,93.6497
173389,506255792,40.2884,-0.7046,-2.08228,1,44.9965,0.498224,1.3783,-1,100.115
173389,506709564,25.017,-1.42436,-2.8638,-1,50.3952,-0.661572,-0.5382,1,70.844
173389,506802159,36.0989,0.253132,-2.54577,1,27.7304,2.11015,0.758358,-1,92.4297
173389,506684245,42.4513,1.93873,-2.72471,-1,47.8553,2.27266,0.403008,1,91.4021
173389,508417308,44.8717,1.0811,-1.26798,1,44.0802,1.96426,1.98612,-1,97.6345
173389,508604481,13.0471,-0.749893,-2.27083,1,28.5659,2.08124,1.02612,-1,84.1499
173389,508015259,41.5477,0.260809,-2.09698,1,42.5252,1.15408,1.12519,-1,92.5307
173389,507544842,44.4542,-1.74439,-2.62319,1,43.8116,-2.0237,0.675718,-1,88.8553
173389,507518364,45.8323,0.273841,1.29491,-1,34.4197,-1.10691,-0.764184,1,90.2883
173389,507891717,30.3466,0.772877,-1.6534,1,37.8021,-0.84495,1.60044,-1,91.0579
173389,508754812,35.6452,-1.676,2.24259,1,33.2607,-0.219314,-0.8053,-1,87.8933
173389,508229581,29.51,0.0703128,-1.29579,1,26.307,-1.96118,1.7869,-1,87.0145
173389,508623000,13.3735,-1.35559,2.12112,1,27.2401,1.95681,-0.764854,-1,103.53
173389,507361023,9.33274,-0.83236,-1.84659,1,20.1683,2.04927,1.33547,-1,61.1985
173389,507757371,41.1961,0.686945,-0.0934151,1,24.5824,-0.816882,3.01881,-1,82.4962
173389,507934566,109.475,1.23301,0.217029,-1,36.302,2.06476,-0.993388,1,89.761
173389,508010840,27.1125,-0.595412,-2.94806,1,8.54361,2.2344,0.154419,-1,66.3407
173389,508150595,33.9721,0.424274,1.19099,-1,35.0404,1.88965,-1.96414,1,88.3684
173389,508452211,17.8795,-0.25289,-0.488824,-1,61.9949,1.34998,2.95539,1,88.5729
173389,508514342,40.2837,-1.06843,0.134175,1,16.5021,0.781162,-1.9803,-1,70.8405
173389,508490660,60.4641,-1.88016,3.0837,1,34.9788,-1.62218,0.289191,-1,91.3736
173389,508286623,32.0398,0.770733,2.67585,1,27.3479,-1.73386,-0.256755,-1,111.846
173389,507736369,21.5584,-1.54548,-0.318895,-1,25.8071,1.47487,0.806568,1,104.653
173389,507518023,28.9114,2.33162,-2.39667,-1,34.9174,0.457931,0.717775,1,93.5281
173389,507552232,21.3334,0.426547,1.93594,-1,52.0522,2.44783,0.271802,1,93.4655
173389,507773599,39.8893,1.42183,-1.69401,1,33.6984,2.45659,1.63759,-1,83.071
173389,508362045,43.8663,-0.530538,0.193897,-1,41.8266,0.0650875,-2.87349,1,89.4395
173389,508588678,46.5886,-2.39302,2.27205,-1,53.1601,-2.36266,-0.834716,1,99.5284
